iter	Passed	Remaining
399	27640	41460
400	27714	41398
401	27801	41356
402	27876	41295
403	27949	41233
404	28023	41170
405	28065	41061
406	28110	40957
407	28153	40849
408	28228	40789
409	28300	40725
410	28343	40619
411	28386	40513
412	28429	40406
413	28503	40346
414	28588	40299
415	28632	40195
416	28675	40090
417	28721	39990
418	28799	39933
419	28844	39833
420	28918	39771
421	28991	39709
422	29076	39661
423	29161	39615
424	29203	39511
425	29276	39447
426	29351	39386
427	29426	39326
428	29469	39223
429	29512	39121
430	29596	39073
431	29639	38970
432	29711	38906
433	29755	38805
434	29801	38708
435	29846	38609
436	29920	38547
437	29995	38487
438	30071	38427
439	30151	38374
440	30228	38317
441	30270	38214
442	30313	38113
443	30391	38058
444	30436	37959
445	30517	37907
446	30594	37849
447	30671	37791
448	30714	37691
449	30771	37610
450	30818	37514
451	30909	37474
452	30987	37417
453	31064	37359
454	31139	37298
455	31188	37207
456	31273	37159
457	31351	37101
458	31427	37041
459	31506	36986
460	31554	36893
461	31596	36793
462	31671	36733
463	31749	36675
464	31793	36579
465	31837	36483
466	31911	36421
467	31953	36323
468	32035	36270
469	32117	36217
470	32198	36163
471	32241	36066
472	32316	36006
473	32390	35943
474	32465	35882
475	32538	35820
476	32614	35759
477	32689	35698
478	32766	35639
479	32811	35546
480	32858	35454
481	32902	35359
482	32945	35264
483	33018	35201
484	33061	35106
485	33103	35011
486	33177	34948
487	33263	34899
488	33309	34808
489	33396	34759
490	33481	34708
491	33558	34649
492	33602	34556
493	33675	34493
494	33717	34399
495	33760	34304
496	33833	34242
497	33876	34148
498	33921	34057
499	33996	33996
500	34068	33932
501	34143	33871
502	34224	33816
503	34266	33722
504	34341	33661
505	34396	33581
506	34436	33485
507	34508	33421
508	34590	33367
509	34634	33276
510	34720	33225
511	34802	33170
512	34845	33079
513	34887	32987
514	34960	32923
515	35001	32831
516	35045	32740
517	35091	32653
518	35170	32594
519	35218	32509
520	35295	32449
521	35341	32362
522	35388	32275
523	35430	32185
524	35510	32128
525	35555	32040
526	35602	31954
527	35644	31863
528	35736	31818
529	35811	31757
530	35893	31702
531	35935	31611
532	36009	31550
533	36055	31464
534	36131	31403
535	36205	31342
536	36285	31285
537	36362	31226
538	36406	31137
539	36480	31075
540	36523	30987
541	36597	30925
542	36642	30839
543	36717	30777
544	36759	30689
545	36802	30601
546	36887	30548
547	36961	30486
548	37037	30425
549	37112	30365
550	37192	30307
551	37269	30247
552	37312	30160
553	37395	30105
554	37475	30047
555	37550	29986
556	37602	29906
557	37643	29818
558	37718	29756
559	37770	29677
560	37864	29630
561	37943	29571
562	38003	29498
563	38078	29436
564	38168	29386
565	38218	29305
566	38296	29245
567	38370	29183
568	38445	29121
569	38521	29059
570	38595	28996
571	38674	28938
572	38750	28877
573	38825	28814
574	38904	28755
575	38977	28691
576	39051	28628
577	39097	28545
578	39176	28485
579	39258	28428
580	39300	28342
581	39385	28287
582	39464	28227
583	39509	28144
584	39553	28059
585	39628	27996
586	39703	27934
587	39778	27872
588	39854	27809
589	39931	27748
590	40013	27691
591	40089	27629
592	40166	27567
593	40205	27480
594	40282	27419
595	40365	27362
596	40456	27309
597	40535	27249
598	40611	27187
599	40687	27124
600	40762	27062
601	40834	26997
602	40913	26936
603	40991	26875
604	41039	26794
605	41119	26734
606	41193	26670
607	41267	26606
608	41341	26542
609	41414	26478
610	41490	26415
611	41566	26352
612	41649	26294
613	41728	26233
614	41802	26169
615	41879	26107
616	41966	26050
617	42046	25989
618	42121	25926
619	42198	25863
620	42275	25800
621	42360	25743
622	42434	25678
623	42508	25614
624	42581	25548
625	42657	25485
626	42730	25420
627	42804	25355
628	42887	25295
629	42967	25234
630	43044	25172
631	43118	25107
632	43199	25046
633	43273	24981
634	43349	24917
635	43428	24855
636	43502	24789
637	43579	24727
638	43657	24664
639	43729	24597
640	43803	24532
641	43877	24467
642	43952	24402
643	44029	24339
644	44104	24274
645	44182	24211
646	44254	24145
647	44338	24085
648	44412	24019
649	44452	23936
650	44535	23875
651	44612	23811
652	44690	23748
653	44770	23685
654	44852	23624
655	44927	23559
656	45002	23494
657	45078	23429
658	45153	23364
659	45238	23304
660	45313	23239
661	45404	23182
662	45482	23118
663	45556	23052
664	45630	22986
665	45711	22924
666	45789	22860
667	45879	22802
668	45952	22735
669	46037	22674
670	46118	22612
671	46197	22548
672	46273	22483
673	46358	22422
674	46438	22359
675	46528	22300
676	46622	22243
677	46699	22178
678	46790	22120
679	46879	22061
680	46972	22003
681	47052	21939
682	47132	21875
683	47207	21809
684	47288	21745
685	47363	21679
686	47436	21612
687	47518	21549
688	47564	21469
689	47642	21404
690	47724	21341
691	47803	21276
692	47878	21210
693	47956	21145
694	48033	21079
695	48108	21012
696	48162	20937
697	48242	20872
698	48319	20807
699	48395	20740
700	48475	20676
701	48531	20601
702	48603	20533
703	48678	20467
704	48726	20389
705	48804	20323
706	48893	20262
707	48970	20197
708	49043	20129
709	49117	20062
710	49192	19995
711	49267	19928
712	49343	19862
713	49417	19794
714	49492	19727
715	49574	19663
716	49651	19597
717	49730	19532
718	49806	19465
719	49879	19397
720	49952	19329
721	50027	19262
722	50101	19195
723	50178	19128
724	50260	19064
725	50336	18997
726	50409	18929
727	50483	18861
728	50555	18793
729	50629	18726
730	50702	18657
731	50778	18590
732	50854	18523
733	50932	18457
734	51009	18391
735	51085	18324
736	51158	18255
737	51231	18187
738	51305	18120
739	51382	18053
740	51464	17988
741	51508	17910
742	51553	17832
743	51635	17767
744	51684	17690
745	51763	17624
746	51844	17559
747	51924	17493
748	52012	17430
749	52085	17361
750	52159	17293
751	52240	17228
752	52317	17161
753	52392	17093
754	52479	17029
755	52555	16962
756	52634	16895
757	52707	16827
758	52779	16758
759	52863	16693
760	52935	16624
761	53014	16558
762	53092	16491
763	53170	16424
764	53244	16356
765	53318	16287
766	53393	16219
767	53467	16151
768	53541	16083
769	53615	16014
770	53691	15947
771	53764	15878
772	53834	15809
773	53911	15741
774	53987	15673
775	54061	15605
776	54110	15529
777	54188	15462
778	54261	15393
779	54334	15325
780	54377	15247
781	54420	15170
782	54467	15095
783	54539	15026
784	54613	14957
785	54688	14889
786	54768	14822
787	54841	14754
788	54885	14677
789	54958	14609
790	55030	14540
791	55106	14472
792	55148	14395
793	55191	14319
794	55235	14243
795	55307	14174
796	55350	14098
797	55395	14022
798	55438	13946
799	55512	13878
800	55589	13810
801	55669	13743
802	55715	13668
803	55805	13604
804	55877	13535
805	55959	13469
806	56006	13394
807	56080	13325
808	56154	13257
809	56197	13182
810	56245	13107
811	56291	13033
812	56338	12958
813	56388	12884
814	56434	12810
815	56509	12742
816	56551	12667
817	56632	12600
818	56706	12532
819	56783	12464
820	56831	12390
821	56916	12324
822	56989	12256
823	57064	12188
824	57110	12114
825	57203	12050
826	57286	11983
827	57362	11915
828	57406	11841
829	57481	11773
830	57559	11705
831	57632	11637
832	57712	11570
833	57789	11502
834	57866	11434
835	57928	11363
836	58003	11295
837	58082	11228
838	58157	11160
839	58237	11092
840	58316	11025
841	58413	10961
842	58494	10893
843	58581	10827
844	58655	10759
845	58732	10691
846	58806	10622
847	58883	10554
848	58971	10488
849	59043	10419
850	59120	10351
851	59201	10283
852	59279	10215
853	59355	10147
854	59431	10079
855	59507	10010
856	59591	9943
857	59665	9874
858	59743	9806
859	59817	9737
860	59902	9670
861	59983	9602
862	60066	9535
863	60142	9466
864	60219	9398
865	60293	9329
866	60371	9261
867	60448	9192
868	60524	9123
869	60608	9056
870	60672	8985
871	60730	8914
872	60808	8846
873	60882	8777
874	60957	8708
875	61031	8639
876	61109	8570
877	61187	8502
878	61268	8434
879	61346	8365
880	61423	8296
881	61504	8228
882	61585	8160
883	61651	8089
884	61732	8021
885	61820	7954
886	61896	7885
887	61992	7818
888	62072	7750
889	62146	7681
890	62238	7613
891	62331	7546
892	62410	7478
893	62488	7409
894	62580	7341
895	62659	7272
896	62742	7204
897	62821	7135
898	62873	7063
899	62947	6994
900	63031	6925
901	63117	6857
902	63199	6788
903	63269	6718
904	63350	6650
905	63430	6581
906	63504	6511
907	63595	6443
908	63674	6374
909	63750	6304
910	63830	6235
911	63906	6166
912	63981	6096
913	64058	6027
914	64138	5958
915	64218	5889
916	64297	5819
917	64373	5750
918	64450	5680
919	64514	5609
920	64592	5540
921	64669	5470
922	64749	5401
923	64832	5332
924	64911	5263
925	64988	5193
926	65064	5123
927	65140	5053
928	65216	4984
929	65291	4914
930	65369	4844
931	65447	4775
932	65523	4705
933	65611	4636
934	65690	4566
935	65769	4497
936	65855	4427
937	65942	4358
938	66027	4289
939	66108	4219
940	66187	4149
941	66273	4080
942	66351	4010
943	66427	3940
944	66504	3870
945	66580	3800
946	66657	3730
947	66748	3661
948	66837	3591
949	66918	3522
950	66995	3451
951	67074	3381
952	67153	3311
953	67229	3241
954	67307	3171
955	67388	3101
956	67466	3031
957	67529	2960
958	67606	2890
959	67686	2820
960	67771	2750
961	67851	2680
962	67932	2610
963	68007	2539
964	68082	2469
965	68158	2398
966	68233	2328
967	68310	2258
968	68387	2187
969	68462	2117
970	68536	2046
971	68616	1976
972	68692	1906
973	68768	1835
974	68845	1765
975	68924	1694
976	69006	1624
977	69087	1554
978	69164	1483
979	69243	1413
980	69318	1342
981	69397	1272
982	69477	1201
983	69561	1131
984	69633	1060
985	69711	989
986	69789	919
987	69866	848
988	69942	777
989	70014	707
990	70089	636
991	70166	565
992	70245	495
993	70318	424
994	70398	353
995	70483	283
996	70559	212
997	70642	141
998	70717	70
999	70804	0
